name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Christ The King Sec School, Half Moon Lane, South Douglas Road, Cork",Christ King Girls Secondary School,ChIJ2YB9S_yPREgRIStAVE5_fdM,146,0,1,0,2,0,2,70,0,0,0,0,0,1,0,0,35,1,0,0,1,0,0,0,4,2,0,6,0,0,0,0,0,125,0.86
"Coláiste Cholmain, Mainistir Fhear Muighe",St Colmans College,ChIJjXHcAj9fQ0gRTMIMfsxjtc0,74,1,1,0,8,0,0,23,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,2,6,0,2,0,0,0,0,0,63,0.85
"Coláiste na Toirbhirte, Ard Aoibhinn, Bandon",Coláiste na Toirbhirte (Presentation College),ChIJ57gofzfxREgR3Qa6ey4ooPs,53,1,0,0,5,0,0,17,0,0,0,0,0,1,0,0,14,0,0,0,0,1,0,0,1,1,0,3,0,1,0,0,0,45,0.85
"Carrigaline Community School, Waterpark Road, Carrigaline, Cork",Carrigaline Community School,ChIJc5ycxsqFREgRQNjCQDXFlGw,153,1,1,1,2,0,0,65,0,0,0,0,0,0,0,0,52,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,129,0.84
"Sacred Heart Secondary School, Clonakilty",Sacred Heart Secondary School Clonakilty,ChIJ7xZKUOFWREgRWGdxwxo95Vk,70,1,0,0,14,0,3,18,0,0,0,0,0,0,0,0,9,0,1,0,0,0,2,1,0,3,0,6,0,1,0,0,0,59,0.84
"St Aloysius College, Carrigtwohill, Cork",St Aloysius College,ChIJ5fJKwUidREgRclnLei-f5zs,119,5,2,0,3,0,4,45,0,0,0,0,0,1,0,0,25,0,0,1,0,0,1,0,1,4,0,6,0,0,1,0,0,99,0.83
"Coachford Community College, Coachford",Coachford College,ChIJYckCCynsREgRkxik-QPvyvo,88,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,37,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,73,0.83
"Coláiste Chríost Rí, Bothar Ceapmhaoil, Cathair Chorcai",Colaiste Chriost Ri,ChIJ6exE8wKQREgRt6SP8REj7Z4,92,0,1,0,1,0,1,38,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,76,0.83
"*Midleton College, Connolly Street, Midleton",Midleton College,ChIJnXiGRy5jQ0gRKVIyBTydaGs,56,1,1,3,3,1,2,18,0,0,0,0,0,0,0,1,11,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,46,0.82
"Kinsale Community School, Kinsale",Kinsale Community School,ChIJUwLageZhREgR4rbGmZiOVU4,106,1,3,0,5,0,0,34,0,0,0,0,0,1,0,0,35,0,0,1,0,0,0,1,1,2,0,3,0,0,0,0,0,87,0.82
"St Mary’s High School, Castleredmond, Midleton",St. Mary's High School,ChIJjTtvNi1jQ0gRDsg_zVnxflU,102,0,0,0,7,0,0,44,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,3,3,0,3,0,0,0,0,0,83,0.81
"Coláiste Ghobnatan, Baile Bhuirne, Maigh Cromtha",Macroom,ChIJVSptTEzkREgR4J0xl6nHAAo,42,2,0,0,5,0,2,3,2,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,1,1,0,9,0,0,0,0,0,34,0.81
"Schull Community College, Colla Road, Schull",Schull Community College,ChIJUe_ZFG-ZRUgRrU6PefBhAJs,62,0,4,1,2,1,1,14,0,0,0,0,1,2,0,1,12,1,1,3,0,0,0,0,0,4,0,2,0,0,0,0,0,50,0.81
"St Vincent’s Secondary School, St Mary’s Road, Cork City",St Vincents Secondary School,ChIJbZKVXBOQREgRz30L6g18JoA,24,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0.79
"Boherbue Comprehensive School, Boherbue, Mallow",Boherbue Comprehensive School,ChIJL6Zg30LaREgRtlrLkLZaKGA,71,3,0,0,15,0,0,13,1,0,0,0,0,1,0,0,5,0,0,0,0,1,6,0,5,1,0,5,0,0,0,0,0,56,0.79
"Coláiste Muire, Bishop Street, Cobh",Colaiste Muire,ChIJYy3qtKeDREgRt94Tm9ae-kI,94,0,1,0,2,1,0,28,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,1,1,5,0,3,0,0,0,0,0,74,0.79
"Christian Brothers School, Rosary Place, Midleton",Christian Brothers Secondary School,ChIJpbnsMtN8Q0gRzEuRJ5BaMsM,118,1,2,1,4,0,2,34,0,0,0,0,0,1,0,1,36,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,91,0.77
"Ursuline Secondary School, Blackrock, Cork",Ursuline Girls Secondary School,ChIJPW1Ddc6aREgRUkzMekpR5s0,26,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0.77
"Scoil Mhuire Gan Smal, Blarney",Scoil Mhuire Gan Smal,ChIJZZnM6XGRREgRFrKrUTBy5IA,112,1,0,0,6,0,0,44,1,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,86,0.77
"St Patrick’s College, Gardiner’s Hill, Cork",St Patricks College,ChIJu1Xi3KGaREgRtDhNAt0BsWU,25,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0.76
"Coláiste Treasa, Kanturk, Mallow",Colaiste Treasa,ChIJfcd6tevFREgRIlSqh6W7Ypo,83,0,1,0,16,0,1,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,3,2,0,3,0,0,0,0,0,63,0.76
"Scoil Mhuire, Clochar na Trocaire, Ceann Toirc, Mala Co Chorcai",Scoil Mhuire Na Trocaire,ChIJ3cZw_bSwREgRAmia36KPuh4,40,0,1,1,7,0,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,2,1,0,2,0,0,0,0,0,30,0.75
"Scoil Phobail Bhéara, Castletownbere, Co.Cork",Scoil Phobail Bheara,ChIJE1u-j0x-RUgRjjtvK4EBfQo,63,2,0,0,6,0,2,17,1,0,0,0,0,1,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0.75
