name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
St. Angela?s College	ST.Angelas College	St Patrick?s Hill	Cork			"St Patrick?s Hill, Cork, "	Cork
Ursuline Secondary School	Ursuline Girls Secondary School	Blackrock	Cork			"Blackrock, Cork, "	Cork
Mount Mercy College	Mount Mercy College	Model Farm Road	Cork			"Model Farm Road, Cork, "	Cork
Scoil Mhuire	Scoil Mhuire Junior School	2 Sidney Place	Wellington Road	Cork		"2 Sidney Place, Wellington Road, Cork"	Cork
Regina Mundi College	Regina Mundi College	Douglas Road	Cork			"Douglas Road, Cork"	Cork
Christ King Girls? Secondary School	Christ King Girls Secondary School	Half Moon Lane	South Douglas Road	Cork		"Half Moon Lane, South Douglas Road, Cork"	Cork
Presentation Secondary School	Presentation Secondary School	Ballyphehane	Cork			"Ballyphehane, Cork"	Cork
St Patricks College	St Patricks College	Gardiner?s Hill	Cork			"Gardiner?s Hill, Cork"	Cork
Scoil Mhuire Secondary School	Scoil Mhuire Buncrana	St. Oran?s Road	Buncrana	Co. Donegal		"St. Oran?s Road, Buncrana, Co. Donegal"	Donegal
St Eunan?s College	St Eunan?s College	Letterkenny	Co Donegal			"Letterkenny, Co Donegal"	Donegal
Loreto Secondary School	Loreto Convent Letterkenny	Letterkenny	Co Donegal			"Letterkenny, Co Donegal"	Donegal
St Columbas College	St Columba?s College	Stranorlar	Co. Donegal			"Stranorlar, Co. Donegal"	Donegal
Presentation College	Presentation College	Athenry	Co Galway			"Athenry, Co Galway"	Galway
Colaiste Sheosaimh	Garbally College	Gearrbhaile	Beál Áth na Slua	Co na Gaillimhe		"Gearrbhaile, Beál Áth na Slua, Co na Gaillimhe"	Galway
Ardscoil Mhuire	Ard Scoil Mhuire ballinasloe	Mackney	Ballinasloe	Co Galway		"Mackney, Ballinasloe, Co Galway"	Galway
Coláiste Mhuire	Colaiste Mhuire	Ballygar	Co. Galway			"Ballygar, Co. Galway"	Galway
St. Cuan?s College	St Cuans College	Castleblakney	Ballinasloe	Co Galway		"Castleblakney, Ballinasloe, Co Galway"	Galway
St Joseph?s College	Saint Joseph?s Patrician College - The Bish	Nun?s Island	Galway			"Nun?s Island, Galway"	Galway
Coláiste Iognáid S.J.	Coláiste Iognáid (The Jes)	Br. Na Mara	Gaillimh			"Br. Na Mara, Gaillimh"	Galway
St. Mary?s College	St Marys College	St. Mary?s Road	Galway			"St. Mary?s Road, Galway"	Galway
Coláiste Einde	Coláiste Éinde - St. Enda?s College	Threadneedle Road	Galway			"Threadneedle Road, Galway"	Galway
Dominican College	Dominican College	Taylors Hill	Galway			"Taylors Hill, Galway"	Galway
Jesus & Mary Secondary School	Salerno Secondary School	Salerno Secondary School	Threadneedle Rd	Salthill	Galway	"Salerno Secondary School, Threadneedle Rd, Salthill, Galway"	Galway
Presentation College	Presentation College	Headford	Co. Galway			"Headford, Co. Galway"	Galway
